D,T,O,H,L,C
2017/1/3,1105,1964.49,1964.67,1964.02,1964.02
2017/1/3,1106,1964.29,1964.74,1964.23,1964.49
2017/1/3,1107,1964.62,1965,1964.53,1964.88
2017/1/3,1108,1964.94,1965.01,1964.63,1965.01
2017/1/3,1109,1965.05,1965.15,1964.77,1965.13
2017/1/3,1110,1965.09,1965.26,1964.87,1964.87
2017/1/3,1111,1964.73,1965.24,1964.5,1965.06
2017/1/3,1112,1965.16,1965.23,1964.12,1964.42
2017/1/3,1113,1964.19,1964.55,1964.1,1964.43
2017/1/3,1114,1964.48,1964.69,1963.99,1964.03
2017/1/3,1115,1964.04,1964.72,1963.71,1964.08
2017/1/3,1116,1964.13,1964.42,1963.46,1963.52
2017/1/3,1117,1963.47,1963.93,1962.96,1963.61
2017/1/3,1118,1963.82,1963.82,1962.8,1963.14
2017/1/3,1119,1963.19,1963.21,1962.29,1962.71
2017/1/3,1120,1962.82,1962.82,1961.91,1961.91
2017/1/3,1121,1962.23,1962.23,1961.51,1961.59
2017/1/3,1122,1961.61,1961.61,1961.11,1961.17
2017/1/3,1123,1961.44,1961.49,1960.96,1961.12
2017/1/3,1124,1961.19,1961.34,1960.76,1960.91
2017/1/3,1125,1960.93,1961.11,1960.33,1960.33
2017/1/3,1126,1960.36,1960.56,1960.04,1960.09
2017/1/3,1127,1960.09,1960.37,1959.88,1960.06
2017/1/3,1128,1960.11,1960.9,1959.96,1960.51
2017/1/3,1129,1960.52,1960.93,1960.32,1960.47
2017/1/3,1300,1960.44,1962.18,1960.23,1961.93
2017/1/3,1301,1961.93,1961.93,1961.93,1961.93
2017/1/3,1302,1961.98,1962.12,1961.37,1961.52
2017/1/3,1303,1961.74,1962.08,1961.38,1961.4
2017/1/3,1304,1961.32,1961.62,1961.2,1961.31
2017/1/3,1305,1961.36,1961.36,1960.64,1960.67
2017/1/3,1306,1960.74,1960.99,1960.59,1960.7
2017/1/3,1307,1960.71,1961.57,1960.6,1961.55
2017/1/3,1308,1961.53,1962.31,1961.47,1962.18
2017/1/3,1309,1961.61,1962.27,1961.46,1961.58
2017/1/3,1310,1961.57,1962.27,1961.57,1961.83
2017/1/3,1311,1961.88,1961.89,1961.33,1961.33
2017/1/3,1312,1961.36,1961.58,1961.15,1961.3
2017/1/3,1313,1961.37,1961.41,1960.78,1961.05
2017/1/3,1314,1960.65,1961.01,1960.55,1960.82
2017/1/3,1315,1960.86,1960.86,1960.31,1960.39
2017/1/3,1316,1960.46,1960.46,1959.79,1960.29
2017/1/3,1317,1960.29,1960.5,1960.1,1960.49
2017/1/3,1318,1960.46,1960.61,1960.36,1960.36
2017/1/3,1319,1960.33,1960.67,1960.18,1960.49
2017/1/3,1320,1960.56,1960.84,1960.56,1960.72
2017/1/3,1321,1960.81,1961.09,1960.72,1960.97
2017/1/3,1322,1960.88,1961.14,1960.7,1960.9
2017/1/3,1323,1960.84,1960.84,1960.3,1960.52
2017/1/3,1324,1960.32,1960.49,1960.13,1960.32
