D,T,O,H,L,C,V
2016/1/4,1056,2594.17,2594.49,2592.78,2594.15,26834
2016/1/4,1057,2594.04,2595.71,2593,2595.71,23828
2016/1/4,1058,2595.99,2598.48,2595.8,2598.48,25407
2016/1/4,1059,2598.48,2600.39,2598.08,2600.39,28096
2016/1/4,1100,2600.07,2600.7,2599.96,2600.19,22790
2016/1/4,1101,2600.5,2601.1,2599.77,2599.77,24441
2016/1/4,1102,2599.94,2599.95,2596.34,2596.46,29092
2016/1/4,1103,2596.98,2596.98,2593.39,2593.43,26889
2016/1/4,1104,2593.19,2593.19,2591.48,2591.87,25687
2016/1/4,1105,2591.92,2592.25,2591.05,2592.18,23989
2016/1/4,1106,2592.08,2592.8,2591.11,2592.54,24410
2016/1/4,1107,2593.09,2593.09,2591.56,2592.17,22948
2016/1/4,1108,2592.04,2592.23,2589.12,2589.12,38976
2016/1/4,1109,2588.71,2588.97,2585.91,2585.91,39645
2016/1/4,1110,2585.53,2585.53,2579.3,2579.3,52171
2016/1/4,1111,2578.64,2578.64,2573.65,2573.65,60610
2016/1/4,1112,2573.88,2573.88,2568.3,2568.3,70743
2016/1/4,1113,2569.34,2569.34,2565.85,2565.93,57558
2016/1/4,1114,2565.64,2566.56,2564.82,2566.06,65233
2016/1/4,1115,2566.6,2566.6,2564.8,2565,52853
2016/1/4,1116,2565.25,2565.96,2565.12,2565.63,44687
2016/1/4,1117,2565.74,2568.31,2565.51,2568.24,38095
2016/1/4,1118,2568.09,2570.27,2568.09,2570.09,37185
2016/1/4,1119,2570.13,2573.97,2570.13,2573.91,32530
2016/1/4,1120,2573.67,2574.64,2573.22,2574.64,27801
2016/1/4,1121,2574.78,2575.37,2573.73,2574.35,25325
2016/1/4,1122,2574.16,2574.33,2572.69,2572.69,26444
2016/1/4,1123,2572.73,2573.49,2572.04,2572.7,26224
2016/1/4,1124,2572.21,2572.21,2571.37,2571.5,25090
2016/1/4,1125,2571.21,2571.51,2570.36,2570.56,20913
2016/1/4,1126,2570.56,2571.09,2570.41,2571.02,24952
2016/1/4,1127,2570.96,2571.2,2569.28,2569.64,25191
2016/1/4,1128,2569.64,2569.94,2568.36,2568.36,30527
2016/1/4,1129,2568.36,2568.36,2566.33,2566.4,35960
2016/1/4,1300,2565.29,2565.42,2551.77,2551.77,170526
2016/1/4,1301,2551.77,2551.77,2551.77,2551.77,0
2016/1/4,1302,2551.38,2551.51,2547.48,2547.48,45276
2016/1/4,1303,2547.01,2547.01,2543.56,2543.58,44962
2016/1/4,1304,2543.27,2543.32,2541.27,2541.27,47401
2016/1/4,1305,2541.2,2542.54,2541.2,2542.35,44996
2016/1/4,1306,2542.38,2543.57,2542.38,2543.57,42676
2016/1/4,1307,2542.83,2543.66,2542.14,2542.71,39095
2016/1/4,1308,2542.38,2542.38,2538.71,2538.71,44870
2016/1/4,1309,2538.42,2538.49,2535.93,2535.93,50871
2016/1/4,1310,2535.99,2535.99,2532.29,2532.29,61892
2016/1/4,1311,2531.81,2531.81,2527.77,2528.01,66260
2016/1/4,1312,2527.99,2527.99,2523.18,2523.18,78016
2016/1/4,1313,2523.14,2523.2,2521.07,2521.36,72554
2016/1/4,1314,2521.39,2521.39,2521.39,2521.39,630
2016/1/4,1315,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1316,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1317,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1318,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1319,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1320,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1321,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1322,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1323,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1324,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1325,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1326,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1327,2521.39,2521.39,2521.39,2521.39,0
2016/1/4,1328,2521.06,2521.06,2518.2,2518.2,107299
2016/1/4,1329,2517.92,2517.92,2513.44,2513.44,57157
2016/1/4,1330,2512.79,2512.79,2507.1,2507.1,93063
2016/1/4,1331,2506.56,2506.56,2500.8,2500.83,101514
2016/1/4,1332,2500.18,2500.18,2494.8,2494.8,93419
